Frames (30fps),Time (sec),Distance Elapsed(m),Propulsion Vel (m/s),Propulsion Acceleration (m/s^2),Propulsion Jerk (m/s^3)
160,5.3333,0.6861,0.2430
161,5.3667,0.6942,0.2430
162,5.4000,0.7023,0.2430
163,5.4333,0.7105,0.2460
164,5.4667,0.7187,0.2460
165,5.5000,0.7269,0.2460
166,5.5333,0.7352,0.2490
167,5.5667,0.7435,0.2490
168,5.6000,0.7519,0.2520
169,5.6333,0.7603,0.2520
170,5.6667,0.7687,0.2520
171,5.7000,0.7772,0.2550
172,5.7333,0.7858,0.2580
173,5.7667,0.7943,0.2550
174,5.8000,0.8029,0.2580
175,5.8333,0.8116,0.2610
176,5.8667,0.8202,0.2580
177,5.9000,0.8290,0.2640
178,5.9333,0.8377,0.2610
179,5.9667,0.8465,0.2640
180,6.0000,0.8554,0.2670
181,6.0333,0.8642,0.2640
182,6.0667,0.8731,0.2670
183,6.1000,0.8821,0.2700
184,6.1333,0.8911,0.2700
185,6.1667,0.9001,0.2700
186,6.2000,0.9092,0.2730
187,6.2333,0.9183,0.2730
188,6.2667,0.9274,0.2730
189,6.3000,0.9366,0.2760
190,6.3333,0.9458,0.2760
191,6.3667,0.9551,0.2790
192,6.4000,0.9644,0.2790
193,6.4333,0.9737,0.2790
194,6.4667,0.9831,0.2820
195,6.5000,0.9925,0.2820
196,6.5333,1.0019,0.2820
197,6.5667,1.0114,0.2850
198,6.6000,1.0209,0.2850
199,6.6333,1.0304,0.2850
200,6.6667,1.0400,0.2880
201,6.7000,1.0496,0.2880
202,6.7333,1.0593,0.2910
203,6.7667,1.0690,0.2910
204,6.8000,1.0787,0.2910
205,6.8333,1.0884,0.2910
206,6.8667,1.0982,0.2940
207,6.9000,1.1081,0.2970
208,6.9333,1.1179,0.2940
209,6.9667,1.1278,0.2970
210,7.0000,1.1378,0.3000
211,7.0333,1.1478,0.3000
212,7.0667,1.1578,0.3000
213,7.1000,1.1678,0.3000
214,7.1333,1.1779,0.3030
215,7.1667,1.1880,0.3030
216,7.2000,1.1981,0.3030
217,7.2333,1.2083,0.3060
218,7.2667,1.2185,0.3060
219,7.3000,1.2288,0.3090
220,7.3333,1.2390,0.3060
221,7.3667,1.2494,0.3120
222,7.4000,1.2597,0.3090
223,7.4333,1.2701,0.3120
224,7.4667,1.2805,0.3120
225,7.5000,1.2909,0.3120
226,7.5333,1.3014,0.3150
227,7.5667,1.3119,0.3150
228,7.6000,1.3225,0.3180
229,7.6333,1.3331,0.3180
230,7.6667,1.3437,0.3180
231,7.7000,1.3543,0.3180
232,7.7333,1.3650,0.3210
233,7.7667,1.3757,0.3210
234,7.8000,1.3864,0.3210
235,7.8333,1.3972,0.3240
236,7.8667,1.4080,0.3240
237,7.9000,1.4188,0.3240
238,7.9333,1.4297,0.3270
239,7.9667,1.4406,0.3270
240,8.0000,1.4515,0.3270
241,8.0333,1.4625,0.3300
242,8.0667,1.4735,0.3300
243,8.1000,1.4845,0.3300
244,8.1333,1.4955,0.3300
245,8.1667,1.5066,0.3330
246,8.2000,1.5177,0.3330
247,8.2333,1.5289,0.3360
248,8.2667,1.5401,0.3360
249,8.3000,1.5513,0.3360
250,8.3333,1.5625,0.3360
251,8.3667,1.5738,0.3390
